,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
1,4857844476148083.0,22.16430087795835,30700000.0,0.0,0.0033467969063318372
12,4884415770146471.0,355575168.5956068,84600000.0,816213.3242609821,0.0005314732848095311
16,1138775713228983.0,353512688.0869849,61400000.0,475264.24210993893,9.525924338663518e-05
346,1.7525635763824604e+16,5.10406417726138,673800000.0,0.0,0.010719805023769182
351,1.5113949712544472e+16,6.441520696737308,248500000.0,7720804.8758595055,0.00011164599012983957
355,9129743260051398.0,225536227.16725516,581600000.0,0.0,0.004511181625197504
368,8.26927709606652e+16,212801227.04802564,563500000.0,13534042.540939916,0.0005105856152105362
86,4235539913392647.5,357471923.13526374,30700000.0,0.0,0.002574183658236218
97,3.23385121690761e+16,6.7694615497140465,115300000.0,2403803.915359698,0.002300083565187459
